LotArea;SalePrice;LivingArea;NumberBedroom;TotalRooms;Neighborhood;YearBuilt;YearRemodAdd;YrSold;MoSold;KitchenQual;Condition1;OverallCond
9600;181500;1262;3;6;Veenker;1976;1976;2007;5;TA;Feedr;8
14260;250000;2198;4;9;NoRidge;2000;2000;2008;12;Gd;Norm;5
14115;143000;1362;1;5;Mitchel;1993;1995;2009;10;TA;Norm;5
10084;307000;1694;3;7;Somerst;2004;2005;2007;8;Gd;Norm;5
10382;200000;2090;3;7;NWAmes;1973;1973;2009;11;TA;PosN;6
6120;129900;1774;2;8;OldTown;1931;1950;2008;4;TA;Artery;5
11200;129500;1040;3;5;Sawyer;1965;1965;2008;2;TA;Norm;5
11924;345000;2324;4;11;NridgHt;2005;2006;2006;7;Ex;Norm;5
12968;144000;912;2;4;Sawyer;1962;1962;2008;9;TA;Norm;6
10920;157000;1253;2;5;NAmes;1960;1960;2008;5;TA;Norm;5
11241;149000;1004;2;5;NAmes;1970;1970;2010;3;TA;Norm;7
10791;90000;1296;2;6;Sawyer;1967;1967;2006;10;TA;Norm;5
13695;159000;1114;3;6;SawyerW;2004;2004;2008;6;Gd;RRAe;5
7560;139000;1339;3;6;NAmes;1958;1965;2009;5;TA;Norm;6
14215;325300;2376;4;9;NridgHt;2005;2006;2006;11;Gd;Norm;5
4224;129900;1060;3;6;MeadowV;1976;1976;2007;6;TA;Norm;7
8246;154000;1060;3;6;Sawyer;1968;2001;2010;5;Gd;Norm;8
14230;256300;1600;3;7;NridgHt;2007;2007;2009;7;Gd;Norm;5
7200;134800;900;3;5;NAmes;1951;2000;2010;5;Gd;Norm;7
11478;306000;1704;3;7;NridgHt;2007;2008;2010;5;Gd;Norm;5
16321;207500;1600;2;6;NAmes;1957;1997;2006;12;TA;Norm;6
8544;149350;1228;3;6;Sawyer;1966;2006;2008;6;Gd;Norm;6
10552;165500;1700;4;6;NAmes;1959;1959;2010;4;Gd;Norm;5
7313;277500;1561;2;6;NridgHt;2005;2005;2007;8;Ex;Norm;5
13418;309000;2452;4;9;NridgHt;2004;2005;2006;9;Gd;Norm;5
8532;153000;1297;3;5;NAmes;1954;1990;2009;10;TA;Norm;6
7922;109000;1057;3;5;NAmes;1953;2007;2010;1;Gd;Norm;7
8658;160000;1324;3;6;NAmes;1965;1965;2006;12;TA;Norm;5
16905;170000;1328;2;5;Timber;1959;1959;2007;7;TA;Norm;6
9180;144000;884;2;5;SawyerW;1983;1983;2007;12;Gd;Norm;7
7945;141000;1150;3;6;NAmes;1959;1959;2006;5;TA;Norm;6
7658;319900;1752;2;6;NridgHt;2005;2005;2010;2;Ex;Norm;5
12822;239686;2149;1;6;Mitchel;2003;2003;2009;8;Gd;Norm;5
11096;249700;1656;3;7;Somerst;2006;2006;2007;7;Gd;Norm;5
4456;113000;1452;2;8;OldTown;1920;2008;2009;6;TA;Norm;5
7742;127000;955;3;6;Sawyer;1966;1966;2007;1;TA;Norm;7
50271;385000;1842;0;5;Veenker;1981;1987;2006;11;Gd;Norm;5
7134;130000;1360;3;6;NAmes;1955;1955;2007;2;TA;Norm;5
10175;180500;1425;3;7;NAmes;1964;1964;2008;7;TA;Norm;5
2645;172500;1739;3;7;Somerst;1999;2000;2009;8;Gd;Norm;5
13682;438780;2945;3;10;StoneBr;2006;2006;2006;10;Gd;Norm;5
13072;158000;1158;3;5;SawyerW;2004;2004;2006;5;Gd;RRAe;5
6442;202500;1370;2;6;NridgHt;2006;2006;2007;10;Gd;Norm;5
10300;140000;1710;3;9;OldTown;1921;1950;2010;4;TA;RRAn;6
9591;317000;2473;4;9;NridgHt;2004;2005;2007;10;Gd;Norm;5
19900;180000;2207;3;7;NAmes;1970;1989;2010;7;TA;PosA;5
4608;80000;747;2;4;OldTown;1945;1950;2010;6;TA;Artery;6
13651;244000;2223;3;8;NAmes;1973;1973;2007;2;TA;Norm;6
7599;129500;845;2;4;Mitchel;1982;2006;2007;6;TA;Norm;6
10200;144900;1086;3;6;NAmes;1954;2003;2010;5;TA;Norm;7
5790;107400;1605;3;8;OldTown;1915;1950;2010;5;TA;Norm;6
1596;91000;988;2;5;MeadowV;1973;1973;2009;11;TA;Norm;5
8475;135750;952;2;4;NAmes;1956;1956;2008;4;TA;Norm;7
10778;136500;1768;4;8;Sawyer;1968;1968;2010;4;TA;Norm;5
10440;110000;1230;2;5;OldTown;1910;1981;2009;5;TA;Norm;6
13000;193500;2142;4;8;NAmes;1968;1968;2009;6;Gd;Norm;6
4500;153500;1337;2;5;Mitchel;1998;1998;2006;3;TA;Norm;5
10206;245000;1563;3;6;Somerst;2007;2007;2008;10;Gd;Norm;5
8892;126500;1065;3;6;NAmes;1960;1960;2007;7;TA;Norm;5
16059;260000;2417;4;9;NoRidge;1991;1992;2006;4;Gd;Norm;5
3951;164500;1224;2;4;Somerst;2009;2009;2009;6;Gd;Norm;5
7200;109900;1040;2;4;NAmes;1950;1950;2006;7;TA;Norm;5
8500;98600;1235;2;6;NAmes;1961;1961;2006;12;TA;Norm;3
7200;133900;2291;4;9;OldTown;1910;1998;2007;11;TA;Norm;6
9320;128950;1225;3;6;NAmes;1959;1959;2010;1;TA;Norm;5
10603;205000;1610;3;6;NWAmes;1977;2001;2010;2;Gd;Norm;7
9206;178000;1732;3;7;SawyerW;1985;1985;2010;6;Gd;Norm;5
7018;118964;1535;4;8;SawyerW;1979;1979;2009;6;TA;Norm;5
9375;250000;1992;3;9;Somerst;2003;2004;2008;8;Gd;Norm;5
10800;100000;1047;2;6;OldTown;1885;1995;2007;8;TA;Norm;7
6000;115000;789;2;5;OldTown;1948;1950;2008;4;TA;Norm;5
11751;190000;1844;3;7;NWAmes;1977;1977;2010;1;TA;Norm;6
3230;176000;1458;2;5;Somerst;1999;1999;2007;6;TA;Norm;5
11616;139000;1092;3;6;Sawyer;1962;1962;2009;9;TA;Norm;5
12376;320000;3222;5;11;SawyerW;1990;1990;2010;5;Gd;Norm;5
9464;136000;1080;3;5;NAmes;1958;1958;2008;6;TA;Norm;7
7892;153900;1199;2;5;SawyerW;1993;1993;2008;3;Gd;Norm;5
17043;181000;1586;3;7;NWAmes;1979;1998;2009;1;TA;Norm;5
4928;128000;958;2;5;NPkVill;1976;1976;2007;2;TA;Norm;5
4388;87000;840;3;5;OldTown;1930;1950;2007;6;TA;Feedr;7
7590;155000;1348;3;6;NAmes;1966;1966;2006;7;TA;PosN;5
8973;150000;1053;3;6;NAmes;1958;1991;2006;7;Ex;Norm;7
14200;226000;2157;4;8;NAmes;1966;1966;2006;5;Gd;Norm;6
7388;150750;1327;3;7;NAmes;1959;2002;2007;7;Gd;Norm;6
6853;220000;1296;2;6;Timber;2001;2002;2009;6;Gd;Norm;5
10335;180000;1721;3;7;Sawyer;1968;1993;2006;7;TA;Norm;6
10400;174000;1682;3;7;NWAmes;1970;1970;2008;5;TA;Norm;6
10355;143000;1214;3;5;NAmes;1967;1967;2007;7;TA;Norm;5
11070;171000;1959;5;9;Mitchel;1988;1989;2006;7;TA;Norm;5
10500;115000;864;3;5;NAmes;1971;1971;2010;4;TA;Norm;5
8520;166000;1385;4;6;NAmes;1952;1952;2010;6;TA;Artery;4
9100;125000;1728;6;10;Sawyer;1963;1963;2006;11;TA;RRAe;5
7500;141000;1080;3;6;SawyerW;2004;2005;2008;4;Gd;Norm;5
13891;372402;1710;2;6;NridgHt;2007;2008;2008;1;Gd;Norm;5
14803;190000;1993;4;8;NWAmes;1971;1971;2006;6;TA;Norm;5
11340;125000;1200;4;7;OldTown;1923;1950;2006;3;TA;Norm;5
7200;109500;1040;2;5;NAmes;1950;1950;2006;6;TA;Norm;7
12003;269500;1968;4;8;Timber;2009;2010;2010;5;Ex;Norm;5
12552;254900;1947;3;8;Somerst;2004;2005;2010;5;Gd;Norm;5
11120;162500;1232;3;6;Veenker;1984;1984;2008;6;TA;Norm;6
13688;412500;2668;3;10;NridgHt;2003;2004;2008;3;Ex;Norm;5
12182;220000;1541;3;7;NridgHt;2005;2005;2010;5;Gd;Norm;5
5500;103200;882;1;4;OldTown;1956;1956;2007;4;TA;Norm;6
5400;152000;1616;3;5;OldTown;1926;2004;2007;10;Gd;Norm;7
10562;325624;2161;3;8;NridgHt;2007;2007;2007;11;Ex;Norm;5
16669;228000;1707;2;6;Timber;1981;1981;2006;1;TA;Norm;6
12358;128500;1382;2;7;OldTown;1941;1950;2007;5;TA;Feedr;6
31770;215000;1656;3;7;NAmes;1960;1960;2010;5;TA;Norm;5
5306;239000;1767;2;5;StoneBr;1987;1987;2006;6;Gd;Norm;7
10197;163000;1362;3;6;NAmes;1961;1961;2008;6;TA;Norm;5
12416;184000;1651;3;7;Timber;1986;1986;2008;11;TA;Norm;5
13650;172500;1920;4;8;Sawyer;1958;1958;2006;7;Gd;Norm;5
17423;501837;2234;1;9;StoneBr;2008;2009;2009;7;Ex;Norm;5
8520;100000;968;2;5;OldTown;1923;2006;2007;7;TA;Norm;6
2117;177000;1525;3;5;Somerst;2000;2000;2007;6;Gd;Norm;5
11426;200000;2082;3;6;OldTown;2003;2003;2008;6;Gd;Norm;5
22950;475000;3608;4;12;OldTown;1892;1993;2006;6;Ex;Artery;9
9947;173000;1217;3;6;Mitchel;1990;1991;2009;6;Gd;Norm;5
10410;135000;1656;3;8;OldTown;1916;1987;2009;8;TA;Norm;7
7018;153337;1224;2;6;SawyerW;1979;1979;2009;6;TA;Feedr;5
4923;286000;1593;0;5;StoneBr;2001;2002;2008;8;Ex;Norm;5
7472;184000;1479;4;7;NAmes;1972;2004;2007;6;Gd;Norm;9
2280;148500;1456;3;7;NPkVill;1976;1976;2009;7;TA;Norm;6
9416;311872;1726;3;8;Somerst;2007;2007;2007;9;Ex;Norm;5
25419;235000;3112;4;8;NAmes;1918;1990;2006;3;Gd;Artery;4
5520;104000;2229;5;8;OldTown;1912;1950;2009;7;TA;Norm;6
9591;274900;1713;3;7;NridgHt;2004;2005;2009;1;Ex;Norm;5
10125;171500;1279;3;6;Mitchel;1977;1977;2008;2;TA;Norm;6
7000;112000;1310;2;6;OldTown;1924;1950;2006;5;TA;Artery;6
3500;110000;1284;2;5;OldTown;1947;1950;2009;4;TA;Norm;7
13673;143900;1696;3;8;Sawyer;1962;1962;2007;3;TA;RRAe;5
12493;141000;1100;3;6;NAmes;1960;1960;2008;4;TA;Norm;5
14364;277000;2062;3;7;SawyerW;1988;1989;2007;4;TA;Norm;5
8250;145000;1092;3;6;NAmes;1964;1964;2008;7;TA;Norm;7
8640;252678;1852;3;7;Somerst;2009;2009;2009;7;Gd;Norm;5
10011;134450;1236;2;6;NAmes;1957;1996;2006;5;Gd;Norm;6
9906;107000;1328;3;8;OldTown;1925;1950;2006;9;TA;Norm;4
11475;179900;1552;3;6;NWAmes;1975;1975;2006;2;TA;RRAn;6
10500;97000;864;2;4;NAmes;1971;1971;2009;3;TA;Norm;6
13472;386250;2392;3;8;NridgHt;2003;2003;2009;6;Ex;Norm;5
9950;290000;2520;4;9;NoRidge;1995;1995;2007;6;Gd;Norm;5
8521;125000;912;3;5;Sawyer;1967;1967;2010;5;TA;Feedr;5
8760;148000;1194;3;6;NAmes;1959;1959;2010;4;TA;Norm;6
15138;403000;2794;4;9;NoRidge;1995;1996;2009;7;Ex;Norm;5
9453;194500;1744;3;7;SawyerW;1993;2003;2010;2;Gd;RRNe;7
12030;318000;1694;3;7;NridgHt;2007;2007;2007;12;Gd;Norm;5
9000;262500;1566;3;7;Somerst;2008;2008;2010;4;Gd;Norm;5
3880;110500;866;2;4;OldTown;1945;1997;2007;8;Gd;Norm;9
5000;79000;1440;3;6;OldTown;1900;1950;2006;4;TA;Norm;4
10762;120000;1217;3;6;SawyerW;1980;1980;2009;4;TA;Norm;6
8880;205000;2110;3;8;SawyerW;1994;2002;2010;5;Gd;Norm;5
10400;241500;1872;3;6;NWAmes;1988;1988;2006;6;TA;Norm;5
9142;137000;1928;4;9;OldTown;1910;1950;2006;4;Fa;Norm;8
11310;140000;1375;2;5;NAmes;1954;1954;2006;6;TA;Norm;5
8366;173000;1640;3;6;SawyerW;2004;2004;2008;12;Gd;Norm;5
9350;158000;1302;3;7;NAmes;1964;1991;2007;10;Gd;Norm;7
8400;145000;1314;3;5;NAmes;1957;1957;2010;6;TA;Norm;6
8791;207500;1728;3;7;Somerst;2003;2003;2008;5;Gd;Norm;5
12702;97000;882;2;4;OldTown;1956;1956;2008;12;TA;Norm;5
19296;176000;1382;3;6;NAmes;1962;1962;2009;5;TA;Artery;5
8471;151000;1212;3;6;Sawyer;1977;1995;2006;7;TA;Norm;7
5500;130000;1316;3;6;OldTown;1929;2001;2010;4;TA;Norm;7
5232;73000;764;2;4;OldTown;1925;2004;2008;6;TA;Artery;5
12090;175500;1422;3;7;NWAmes;1981;1981;2008;6;Gd;Norm;6
8400;179500;2192;4;8;SWISU;1939;1997;2008;7;Gd;Norm;8
10728;266000;1939;3;8;Somerst;2006;2006;2006;8;Gd;Norm;5
11764;290000;2270;4;9;NoRidge;1999;2007;2010;4;Gd;Norm;7
9600;139000;1632;3;6;NAmes;1958;1988;2009;4;TA;Feedr;6
8314;124500;816;2;5;Mitchel;1982;1982;2007;6;TA;Norm;7
9196;201000;1560;3;7;Mitchel;2003;2003;2010;4;Gd;Norm;5
14450;415298;2121;3;8;NridgHt;2006;2007;2007;5;Ex;Norm;5
11287;228500;1982;3;7;SawyerW;1989;1989;2007;1;Gd;Norm;6
7200;185000;1262;2;5;Somerst;2006;2006;2006;5;Gd;Norm;5
5063;207500;1314;2;6;NridgHt;2007;2008;2009;4;Gd;Norm;5
9612;244600;1468;3;6;Somerst;2008;2009;2009;12;Gd;Feedr;5
8012;179200;1575;2;5;SawyerW;1992;1992;2007;7;Gd;Norm;5
4251;164700;1250;2;5;Somerst;2006;2007;2007;6;Gd;Norm;5
9786;159000;1734;3;7;NAmes;1962;1981;2006;6;Gd;Norm;7
8125;88000;858;3;5;NAmes;1971;1971;2006;6;TA;Norm;4
9819;122000;900;3;5;Sawyer;1967;1967;2010;2;TA;Norm;5
5687;135900;1716;6;9;SWISU;1912;2000;2008;3;Fa;Norm;6
16659;235000;2263;3;9;NWAmes;1977;1994;2006;3;Gd;PosA;7
9600;167000;1644;3;7;NAmes;1953;1953;2009;10;TA;Norm;5
7937;142500;1003;3;6;Mitchel;1984;1984;2006;3;TA;Norm;6
7399;239000;1950;3;7;Somerst;1997;1998;2007;6;Gd;Norm;5
11700;175000;1743;3;7;NWAmes;1968;1968;2007;6;TA;Norm;6
18386;295000;3493;3;10;OldTown;1880;2002;2008;5;Gd;Norm;9
13474;225000;2243;4;8;SawyerW;1990;1991;2007;6;Gd;Feedr;5
12378;360000;1944;3;8;NridgHt;2003;2004;2006;11;Ex;Norm;5
8000;132000;972;2;5;NAmes;1948;2002;2009;5;TA;Norm;6
7800;119900;1118;3;5;OldTown;1939;1950;2006;5;TA;Artery;7
215245;375000;2036;3;8;Timber;1965;1965;2009;6;TA;Norm;5
9600;178000;1641;3;6;OldTown;1925;1990;2006;8;Ex;Norm;7
13005;260000;2353;4;10;NWAmes;1980;1980;2009;8;Ex;Norm;7
9000;270000;1959;3;8;Somerst;2006;2006;2007;12;Gd;Norm;5
9900;260000;2646;4;9;NoRidge;1993;1993;2009;4;Gd;Norm;5
14115;187500;1472;3;6;NWAmes;1980;1980;2009;6;TA;Norm;5
16259;342643;2596;4;9;NridgHt;2006;2006;2006;9;Gd;Norm;5
12099;354000;2468;4;10;NridgHt;2004;2004;2007;6;Gd;Norm;5
10380;301000;2730;4;8;SawyerW;1986;1987;2007;8;Gd;Norm;5
5820;126175;1163;3;6;OldTown;1955;2005;2006;7;TA;Norm;8
11275;242000;2978;5;11;NAmes;1967;2007;2010;6;Gd;PosN;7
10846;324000;1719;1;6;Veenker;1993;1993;2008;5;Gd;Norm;5
11600;145250;1383;3;7;NAmes;1960;1960;2006;4;TA;Norm;5
10624;119000;1728;6;10;NAmes;1964;1964;2007;11;TA;Norm;4
8176;139000;1056;3;6;NAmes;1958;1992;2007;8;TA;Norm;6
10655;284000;1629;3;7;NridgHt;2003;2004;2009;10;Gd;Norm;5
8198;207000;1358;2;6;NridgHt;2004;2004;2008;7;Gd;Norm;5
164660;228950;1786;3;7;Timber;1965;1965;2008;8;TA;Norm;6
14157;377426;1922;3;8;StoneBr;2005;2006;2007;7;Gd;Norm;5
14145;202500;1621;3;8;NWAmes;1984;1998;2006;5;Gd;Norm;7
12400;155000;1215;3;6;NAmes;1958;1998;2009;6;TA;Feedr;7
14191;202900;1908;4;9;Timber;2002;2002;2010;4;Gd;Norm;5
8400;82000;841;2;4;SawyerW;1950;1950;2009;9;TA;Feedr;4
8544;87500;1040;2;6;NAmes;1949;1950;2006;5;TA;Norm;4
8849;266000;1684;2;6;NridgHt;2005;2005;2008;7;Ex;Norm;5
2592;85000;1112;3;4;MeadowV;1976;1976;2010;4;TA;Norm;3
12772;151500;958;2;5;NAmes;1960;1998;2007;4;TA;Norm;8
17600;157500;1478;3;6;NAmes;1960;1960;2009;12;TA;Norm;5
2448;154000;1626;2;6;NridgHt;2003;2004;2008;10;Gd;Norm;5
20431;437154;2728;4;10;NridgHt;2005;2006;2006;4;Ex;Norm;5
7820;318061;1869;2;6;NridgHt;2007;2007;2007;12;Ex;Norm;5
8520;105900;720;2;5;OldTown;1928;2003;2010;5;TA;Norm;8
8400;140000;1595;2;6;SWISU;1940;2000;2006;6;TA;Norm;5
4224;134000;1142;3;6;MeadowV;1976;1976;2007;8;TA;Norm;5
12011;280000;1924;3;7;NoRidge;1998;1998;2006;6;Gd;Norm;5
7540;156000;912;2;5;Mitchel;1978;1978;2007;6;TA;Norm;6
18800;190000;1574;3;6;NWAmes;1976;1976;2006;7;TA;Norm;5
9500;159000;1394;3;6;NAmes;1963;1963;2009;7;TA;Norm;5
9150;165000;1431;3;6;NAmes;1962;1962;2008;12;TA;Norm;5
7800;132000;1268;2;7;NAmes;1954;1954;2010;3;TA;Norm;6
9830;162000;1287;3;7;NAmes;1959;2006;2010;3;Gd;Norm;7
7175;125000;752;2;4;SawyerW;1984;1984;2010;2;TA;Norm;5
10634;123000;1319;3;5;NAmes;1953;1953;2009;11;TA;Norm;6
11143;340000;2466;4;8;Somerst;2004;2005;2007;12;Gd;Norm;5
11394;394432;1856;1;8;StoneBr;2010;2010;2010;6;Ex;Norm;2
5000;127000;1691;3;6;SWISU;1924;1950;2010;5;Gd;Norm;6
7200;187750;1301;2;5;Somerst;2006;2006;2006;8;Gd;Norm;5
9000;76000;784;2;5;SawyerW;1928;1950;2009;10;TA;Norm;3
12474;426000;2332;3;9;NridgHt;2007;2008;2008;8;Ex;Norm;5
12209;215000;1961;3;7;Mitchel;2001;2002;2009;6;Gd;Norm;5
8339;106500;882;3;5;NAmes;1959;1959;2007;7;TA;Norm;7
10134;109000;1034;2;5;OldTown;1940;1950;2007;7;TA;Norm;6
7590;169500;1812;4;8;NAmes;1962;1962;2007;7;TA;PosN;5
8125;241000;1550;2;7;Somerst;2006;2007;2009;10;Gd;Norm;5
14963;245500;1288;1;4;Veenker;1996;1996;2008;12;Ex;Norm;5
10200;108000;672;2;4;Sawyer;1940;1997;2008;8;TA;Norm;8
12090;258000;2263;4;10;NoRidge;1998;1998;2006;7;Gd;Norm;5
9991;150000;1620;3;8;Sawyer;1976;1993;2009;6;TA;Feedr;4
10480;115000;1639;3;6;SWISU;1936;1950;2008;3;TA;Norm;5
14154;280000;2172;3;9;NridgHt;2006;2006;2007;8;Gd;Norm;5
10800;339750;2078;3;8;Somerst;2007;2008;2008;4;Ex;Norm;5
4403;222000;1478;2;7;Somerst;2009;2009;2010;6;Gd;Norm;5
8960;115000;1028;2;5;OldTown;1927;1950;2010;3;TA;Artery;6
11228;228000;2097;3;9;SawyerW;1993;1993;2008;12;Gd;Norm;5
7844;149500;1400;3;6;Sawyer;1978;1978;2006;3;TA;Norm;7
8450;142000;1056;3;6;NAmes;1968;1968;2010;7;TA;Norm;6
7060;206300;1344;2;8;Mitchel;1997;1998;2008;11;TA;Norm;5
16635;215000;1602;3;8;NWAmes;1977;2000;2009;6;Gd;Norm;7
21750;113000;988;2;4;Mitchel;1954;1954;2008;2;TA;Artery;5
9200;315000;2630;4;8;NoRidge;1998;1998;2008;6;Gd;Norm;5
9000;139000;1196;2;6;NAmes;1956;1956;2008;5;TA;Norm;5
3378;135000;1389;3;6;OldTown;1946;1992;2009;9;TA;Norm;8
12800;275000;1644;2;5;SawyerW;1989;1989;2009;8;Gd;Norm;5
8593;109008;907;3;5;NAmes;1957;1957;2008;7;TA;Norm;6
11457;175000;1412;3;6;Timber;1988;1988;2009;3;Gd;Norm;5
5586;79900;1198;4;7;OldTown;1920;1998;2008;9;TA;Feedr;7
1890;81000;630;1;3;MeadowV;1972;1972;2008;6;TA;Norm;7
4400;116000;1118;2;6;OldTown;1920;1950;2006;10;TA;Norm;8
15431;555000;2402;2;10;NridgHt;2008;2008;2009;4;Ex;Norm;5
16492;190000;1888;2;6;NAmes;1966;2002;2010;6;Gd;PosA;6
6000;120000;1183;2;6;OldTown;1948;2002;2007;6;TA;Norm;7
5684;110000;813;2;5;OldTown;1930;2005;2006;6;Gd;Norm;8
9303;204000;1756;3;7;Timber;1996;1997;2007;7;TA;Norm;5
9000;210000;1590;3;6;Somerst;2008;2008;2009;6;Gd;Norm;5
9297;188000;1728;4;8;Mitchel;1976;1976;2006;7;TA;Norm;5
9600;175500;1242;3;6;NWAmes;1973;1973;2007;9;TA;Norm;6
4571;98000;1344;4;7;OldTown;1916;1950;2008;5;TA;Norm;5
5100;161000;1666;3;7;OldTown;1925;1996;2008;6;Gd;Norm;7
8004;263435;1935;3;8;Somerst;2009;2009;2009;12;TA;RRAn;5
7200;155000;1135;3;6;SWISU;1936;2007;2009;4;Gd;Feedr;9
8281;62383;864;3;5;Sawyer;1965;1965;2009;12;TA;Norm;5
10628;167000;1277;2;5;NAmes;1970;1970;2007;4;TA;Norm;5
9480;146500;1644;3;7;NAmes;1942;1995;2007;6;Gd;Artery;7
11428;250000;1634;3;7;NridgHt;2006;2006;2007;5;Gd;Norm;5
9291;187000;1710;3;7;SawyerW;1993;1993;2008;6;Gd;RRNe;5
6820;212000;1502;1;4;StoneBr;1985;1985;2010;6;Gd;Norm;5
11952;190000;1969;3;8;NWAmes;1977;1977;2007;11;TA;PosA;6
14977;440000;1976;2;7;NridgHt;2006;2007;2007;7;Gd;Norm;5
5330;251000;1652;2;6;StoneBr;2000;2000;2007;8;Ex;Norm;5
8480;132500;970;2;5;Sawyer;1963;1963;2007;7;TA;Norm;6
13693;380000;2643;3;9;NridgHt;2006;2006;2007;3;Ex;Norm;5
5925;89471;1131;2;7;OldTown;1937;2000;2007;3;TA;Norm;7
16033;326000;1850;3;8;NridgHt;2004;2005;2006;3;Gd;Norm;5
11846;374000;1792;2;6;NridgHt;2003;2004;2006;8;Ex;Norm;5
2500;155000;1826;4;7;OldTown;1915;2005;2009;6;Ex;Norm;8
4500;164000;1216;2;5;Mitchel;1998;1998;2006;5;TA;Norm;5
7758;132500;999;3;6;Sawyer;1962;2001;2007;3;Gd;Norm;7
9600;147000;1113;3;5;NAmes;1950;2007;2009;7;Gd;Norm;7
10289;156000;1073;3;6;NAmes;1965;1965;2007;6;TA;Norm;7
12243;175000;1484;3;7;NWAmes;1971;1971;2007;2;TA;Norm;6
10800;160000;2414;3;10;OldTown;1900;1970;2006;5;TA;Norm;4
1526;86000;630;1;3;MeadowV;1970;2002;2009;5;Gd;Norm;8
2665;115000;1304;3;4;MeadowV;1976;1976;2008;6;TA;Norm;6
9490;133000;1578;3;5;NAmes;1941;1950;2006;8;Fa;Artery;7
